icao24,registration,manufacturername,model,typecode,operator,operatorcallsign,operatoricao,operatoriata
4008ae,G-EUPO,Airbus Industrie,AIRBUS A319-131,A319,,SPEEDBIRD,BAW,
3c664f,D-AIRO,Airbus,A321 131,A321,,LUFTHANSA,DLH,
406b0a,G-STBK,Boeing Company,BOEING 777-336ER,B77W,,SPEEDBIRD,BAW,
3c6572,D-AIKR,Airbus,A330 343E,A333,,LUFTHANSA,DLH,
347307,EC-NUZ,Boeing,737-8GP,B738,Air Europa,EUROPA,AEA,UX
39cea3,F-HTVD,Boeing,737NG 800/W,B738,,FRENCH SUN,TVF,
346489,EC-NLU,,,B734,,,,
a87223,N643UA,Boeing,767-322,B763,United Airlines,UNITED,UAL,UA
45d994,OY-VLT,,,PC12,,,,
8960f9,A6-EDX,Airbus,Airbus A380 861,A388,,EMIRATES,UAE,
345218,EC-MKL,Boeing,737NG 85P/W,B738,Air Europa,EUROPA,AEA,UX
461fa8,OH-LZS,,,A321,,,,
396668,F-GZTI,Boeing,737 408SF,B734,,,,
3443d2,EC-LUO,Airbus,A320 232SL,A320,,VUELING,VLG,
3c6750,D-AIZP,Airbus,A320 214SL,A320,,LUFTHANSA,DLH,
4006c0,G-VIIN,Boeing Company,BOEING 777-236,B772,,SPEEDBIRD,BAW,
44b4a4,OO-MED,,,LJ45,,,,
888139,VN-A894,Airbus,A350 941,A359,,VIET NAM AIRLINES,HVN,
49520f,CS-TPO,Embraer,EMB-190 LR,E190,,AIR PORTUGAL,TAP,
3d3aba,D-EUMK,Cirrus Design,SR22T,S22T,,,,
493281,CS-LTA,Textron Aviation,Citation Latitude,C68A,,,,
345107,EC-MJC,Airbus,A320 232SL,A320,,VUELING,VLG,
8005ee,VT-AND,Boeing,787 8,B788,,AIRINDIA,AIC,
710121,HZ-AK43,Boeing,Boeing 777-300(ER) ,B77W,,SAUDIA,SVA,
3c66e9,D-AIWI,Airbus Industrie,A320-214,A320,Lufthansa,LUFTHANSA,DLH,LH
495215,CS-TPU,Embraer,EMB-190 LR,E190,,AIR PORTUGAL,TAP,
a071ec,N128FE,Boeing,767-3S2F,B763,Federal Express,FEDEX,FDX,FX
49530b,CS-TXK,,,A21N,,,,
a8e4e9,N672UA,Boeing,767-322,B763,,UNITED,UAL,
347256,EC-NTL,,,A320,,,,
aabd7f,N791UA,Boeing,777-222,B772,,UNITED,UAL,
78136b,B-1072,,,A333,,,,
344648,EC-MDK,Airbus,A320 214SL,A320,,IBERIA,IBE,
44ccd8,OO-SFX,Airbus,A330 343E,A333,Brussels Airlines,BEE-LINE,BEL,SN
502d5c,YL-ABK,,,BCS3,,,,
060040,3B-NCE,Airbus,A350-941,A359,Air Mauritius,AIRMAURITIUS,MAU,MK
4400dc,OE-FRD,Piper,PA-34 220T Seneca III,PA34,,,,
44052d,OE-FHK,Cessna,Citation Mustang,C510,,,,
485a84,PH-TFR,,,B38M,,,,
4853d2,PH-HXI,Boeing,737NG 800/W,B738,,TRANSAVIA,TRA,
4d2255,9H-QDI,,,B738,,,,
4b18fe,HB-JMC,Airbus,A340-313,A343,Swiss International Air Lines Ltd.,SWISS,SWR,LX
4ca6fc,EI-DYY,The Boeing Company,BOEING 737-8AS,B738,,RYANAIR,RYR,
346350,EC-NGL,,,A319,,,,
4b1885,HB-JHL,Airbus,A330-343,A333,Swiss International Air Lines,SWISS,SWR,LX
4952c8,CS-TVH,,,A20N,Tap Portugal,AIR PORTUGAL,TAP,TP
3c64af,D-AIEO,,,A21N,,,,
a68336,N519DN,Airbus Sas,A350-941,A359,Delta Air Lines,DELTA,DAL,DL
406d4e,G-LCYV,Empresa Brasileira De Aeronautica Sa,ERJ 190-100 SR Embraer 190,E190,,FLYER,CFE,
a4caba,N408DX,Airbus,A330-941,A339,Delta Air Lines,DELTA,DAL,DL
39cf13,F-HTYT,,,A359,,,,
aa9300,N78009,Boeing,777-224,B772,,UNITED,UAL,
a21633,N2331U,Boeing,777-300ER,B77W,United Airlines,UNITED,UAL,UA
3986e4,F-HBXE,Embraer,EMB-170 STD,E170,Hop!,AIR HOP,HOP,A5
c04fdd,C-GEGI,,,A333,,,,
0101b9,SU-GEI,Boeing,737NG 800/W,B738,,EGYPTAIR,MSR,
4cad42,EI-SIO,,,A20N,,,,
a31a77,N29985,Boeing,787-9,B789,United Airlines,UNITED,UAL,UA
4851b3,PH-BVP,Boeing,777 306ER,B77W,,KLM,KLM,
4952b3,CS-TUS,,,A339,,,,
c01732,C-FIUJ,The Boeing Company,777-233LR (Boeing),B77L,,AIR CANADA,ACA,
020176,CN-NMQ,,,A320,,,,
4852f5,PH-EXH,Embraer,EMB-175 200STD,E75L,,CITY,KLC,
a4c9d5,N4076J,Textron Aviation,Citation M2,C25M,,,,
48418c,PH-BXR,Boeing,737NG 9K2/W,B739,,KLM,KLM,
471eff,HA-LTF,,A321-231 ,A321,Wizz Air,WIZZAIR,WZZ,W6
48455e,PH-BVA,Boeing,Boeing 777-306(ER),B77W,Klm,KLM,KLM,KL
4007f6,G-YMMK,Boeing Company,BOEING 777-236,B772,British Airways,SPEEDBIRD,BAW,BA
485873,PH-EXW,Embraer,ERJ-175STD,E75L,Klm Cityhopper,KLM,KLC,WA
490d07,CS-CHG,Bombardier,Challenger 350,CL35,Netjets Europe,FRACTION,NJE,1I
7816a1,B-308L,Airbus Industrie,A330-243F,A332,Sichuan Airlines,SI CHUAN,CSC,3U
aac33e,N793AV,Boeing,787-8,B788,Avianca - Aerovías Del Continente Americano S.a.,AVIANCA,AVA,AV
7608f9,AP-BGY,Boeing,Boeing 777-240(LR),B77L,,PAKISTAN,PIA,
4ac9e2,SE-ROB,Airbus,A320 251NSL,A20N,,SCANDINAVIAN,SAS,
4ca6c4,EI-DVI,Airbus Industrie,A320-214,A320,,SHAMROCK,EIN,
4b161f,HB-IJV,Airbus,A320-214,A320,Edelweiss Air,EDELWEISS,EDW,WK
ad6b0e,N964AM,Boeing,787-8,B788,Aeroméxico,AEROMEXICO,AMX,AM
44ce75,OO-SSU,Airbus,A319 111,A319,Brussels Airlines,BEE-LINE,BEL,SN
5001dc,T7-ME4,,,A21N,,,,
a572b3,N450GA,Gulfstream Aerospace,Gulfstream Aerospace G450,GLF4,Gulfstream Aerospace,GULFSTREAM TEST,GLF,
4cab80,EI-NYE,,,B789,,,,
39856d,F-HBLN,Embraer,Embraer 190STD,E190,Hop!,AIRFRANS,AFR,
3951c2,F-GUOC,Boeing,Boeing 777-F28,B77L,Air France,AIRFRANS,AFR,AF
406e11,G-VOWS,Boeing Company,BOEING 787-9 Dreamliner,B789,Virgin Atlantic Airways,VIRGIN,VIR,VS
485e2e,PH-BKH,,787-10,B78X,,,,
4951d6,CS-TNV,Airbus,A320 214,A320,,AIR PORTUGAL,TAP,
40797c,G-ZBLE,,,B78X,,,,
aa57df,N766AN,Boeing,777-223,B772,,AMERICAN,AAL,
4005c1,G-RAES,Boeing Company,BOEING 777-236,B772,,SPEEDBIRD,BAW,
4d22ac,9H-HLY,,,B738,,,,
484cb7,PH-BGQ,Boeing,737NG 7K2/W,B737,,KLM,KLM,
3c6486,D-AIDF,Airbus,A321 231,A321,,LUFTHANSA,DLH,
48440f,PH-AOA,Airbus,A330 203,A332,,KLM,KLM,
345215,EC-MJU,Boeing,737NG 85P/W,B738,Air Europa,EUROPA,AEA,UX
